Pregunta,Tipo
"El tipo de cotizante 1 aporta a EPS?", "relacion"
"El tipo de cotizante 1 aporta a PEN?", "relacion"
"El tipo de cotizante 1 aporta a ARL?", "relacion"
"El tipo de cotizante 1 aporta a CCF?", "relacion"
"El tipo de cotizante 1 aporta a SEN?", "relacion"
"El tipo de cotizante 1 aporta a ICBF?", "relacion"
"El tipo de cotizante 1 aporta a ESAP?", "relacion"
"El tipo de cotizante 1 aporta a MIN?", "relacion"
"El tipo de cotizante 2 aporta a EPS?", "relacion"
"El tipo de cotizante 2 aporta a PEN?", "relacion"
"El tipo de cotizante 2 aporta a ARL?", "relacion"
"El tipo de cotizante 2 aporta a CCF?", "relacion"
"El tipo de cotizante 2 aporta a SEN?", "relacion"
"El tipo de cotizante 2 aporta a ICBF?", "relacion"
"El tipo de cotizante 2 aporta a ESAP?", "relacion"
"El tipo de cotizante 2 aporta a MIN?", "relacion"
"El tipo de cotizante 3 aporta a EPS?", "relacion"
"El tipo de cotizante 3 aporta a PEN?", "relacion"
"El cotizante 3 aporta a pension?","relación"
"El cotizante 3 realiza aporte a pension","relación"
"El tipo de cotizante independiente aporta a pension","relacion"
"El independiente liquida a pension","relacion"
"El tipo de cotizante 3 aporta a ARL?", "relacion"
"El tipo de cotizante 3 aporta a CCF?", "relacion"
"El tipo de cotizante 3 aporta a SEN?", "relacion"
"El tipo de cotizante 3 aporta a ICBF?", "relacion"
"El tipo de cotizante 3 aporta a ESAP?", "relacion"
"El tipo de cotizante 3 aporta a MIN?", "relacion"
"El tipo de cotizante 4 aporta a EPS?", "relacion"
"El tipo de cotizante 4 aporta a PEN?", "relacion"
"El tipo de cotizante 4 aporta a ARL?", "relacion"
"El tipo de cotizante 4 aporta a CCF?", "relacion"
"El tipo de cotizante 4 aporta a SEN?", "relacion"
"El tipo de cotizante 4 aporta a ICBF?", "relacion"
"El tipo de cotizante 4 aporta a ESAP?", "relacion"
"El tipo de cotizante 4 aporta a MIN?", "relacion"
"El tipo de cotizante 12 aporta a EPS?", "relacion"
"El tipo de cotizante 12 aporta a PEN?", "relacion"
"El tipo de cotizante 12 aporta a ARL?", "relacion"
"El tipo de cotizante 12 aporta a CCF?", "relacion"
"El tipo de cotizante 12 aporta a SEN?", "relacion"
"El tipo de cotizante 12 aporta a ICBF?", "relacion"
"El tipo de cotizante 12 aporta a ESAP?", "relacion"
"El tipo de cotizante 12 aporta a MIN?", "relacion"
"El tipo de cotizante 16 aporta a EPS?", "relacion"
"El tipo de cotizante 16 aporta a PEN?", "relacion"
"El tipo de cotizante 16 aporta a ARL?", "relacion"
"El tipo de cotizante 16 aporta a CCF?", "relacion"
"El tipo de cotizante 16 aporta a SEN?", "relacion"
"El tipo de cotizante 16 aporta a ICBF?", "relacion"
"El tipo de cotizante 16 aporta a ESAP?", "relacion"
"El tipo de cotizante 16 aporta a MIN?", "relacion"
"El tipo de cotizante 18 aporta a EPS?", "relacion"
"El tipo de cotizante 18 aporta a PEN?", "relacion"
"El tipo de cotizante 18 aporta a ARL?", "relacion"
"El tipo de cotizante 18 aporta a CCF?", "relacion"
"El tipo de cotizante 18 aporta a SEN?", "relacion"
"El tipo de cotizante 18 aporta a ICBF?", "relacion"
"El tipo de cotizante 18 aporta a ESAP?", "relacion"
"El tipo de cotizante 18 aporta a MIN?", "relacion"
"El tipo de cotizante 19 aporta a EPS?", "relacion"
"El tipo de cotizante 19 aporta a PEN?", "relacion"
"El tipo de cotizante 19 aporta a ARL?", "relacion"
"El tipo de cotizante 19 aporta a CCF?", "relacion"
"El tipo de cotizante 19 aporta a SEN?", "relacion"
"El tipo de cotizante 19 aporta a ICBF?", "relacion"
"El tipo de cotizante 19 aporta a ESAP?", "relacion"
"El tipo de cotizante 19 aporta a MIN?", "relacion"
"El tipo de cotizante 20 aporta a EPS?", "relacion"
"El tipo de cotizante 20 aporta a PEN?", "relacion"
"El tipo de cotizante 20 aporta a ARL?", "relacion"
"El tipo de cotizante 20 aporta a CCF?", "relacion"
"El tipo de cotizante 20 aporta a SEN?", "relacion"
"El tipo de cotizante 20 aporta a ICBF?", "relacion"
"El tipo de cotizante 20 aporta a ESAP?", "relacion"
"El tipo de cotizante 20 aporta a MIN?", "relacion"
"El tipo de cotizante 21 aporta a EPS?", "relacion"
"El tipo de cotizante 21 aporta a PEN?", "relacion"
"El tipo de cotizante 21 aporta a ARL?", "relacion"
"El tipo de cotizante 21 aporta a CCF?", "relacion"
"El tipo de cotizante 21 aporta a SEN?", "relacion"
"El tipo de cotizante 21 aporta a ICBF?", "relacion"
"El tipo de cotizante 21 aporta a ESAP?", "relacion"
"El tipo de cotizante 21 aporta a MIN?", "relacion"
"¿Qué es el reconocimiento de incapacidades?", "consulta"
